State,County,fix_name
AL,Henry Co.,Henry
AL,Indeterminant,
AR,Crittendon,Crittenden
AR,LaFayette,Lafayette
AR,Undetermined,
FL,Dade,Miami-Dade
FL,Indeterminant,
FL,Suwanee,Suwannee
GA,Campbell,
GA,Indeterminant,
LA,Arcadia,Acadia
LA,Calcasiau,Calcasieu
LA,Cataloula,Catahoula
LA,DeSoto,De Soto
LA,E. Baton Rouge,East Baton Rouge
LA,E. Feliciana,East Feliciana
LA,Indeterminant,
LA,Jeff. Davis,Jefferson Davis
LA,St. John,St. John the Baptist
LA,W. Baton Rouge,West Baton Rouge
LA,W. Carroll,West Carroll
LA,W. Feliciana,West Feliciana
MS,Indeterminant,
MS,Issequena,Issaquena
MS,Jeff. Davis,Jefferson Davis
MS,LeFlore,Leflore
MS,Tallahatichie,Tallahatchie
NC,Northamption,Northampton
NC,Samson,Sampson
TN,Indeterminant,
