,NAME,B02001_003E,state,county,GEOID
0,"Bertie County, North Carolina",11998,37,015,37015
1,"Martin County, North Carolina",9681,37,117,37117
2,"Perquimans County, North Carolina",3298,37,143,37143
3,"Rockingham County, North Carolina",16858,37,157,37157
4,"Camden County, North Carolina",1462,37,029,37029
5,"Gaston County, North Carolina",34616,37,071,37071
6,"Moore County, North Carolina",12120,37,125,37125
7,"Stanly County, North Carolina",6834,37,167,37167
8,"Yancey County, North Carolina",129,37,199,37199
9,"Chatham County, North Carolina",8073,37,037,37037
10,"Johnston County, North Carolina",29837,37,101,37101
11,"Person County, North Carolina",10497,37,145,37145
12,"Ashe County, North Carolina",199,37,009,37009
13,"Lenoir County, North Carolina",22536,37,107,37107
14,"Onslow County, North Carolina",27479,37,133,37133
15,"Rutherford County, North Carolina",6455,37,161,37161
16,"Yadkin County, North Carolina",1421,37,197,37197
17,"Burke County, North Carolina",5794,37,023,37023
18,"Greene County, North Carolina",7502,37,079,37079
19,"Mitchell County, North Carolina",53,37,121,37121
20,"Chowan County, North Carolina",4839,37,041,37041
21,"Alleghany County, North Carolina",266,37,005,37005
22,"Caldwell County, North Carolina",3990,37,027,37027
23,"Catawba County, North Carolina",12772,37,035,37035
24,"Forsyth County, North Carolina",97010,37,067,37067
25,"Bladen County, North Carolina",11827,37,017,37017
26,"Carteret County, North Carolina",3880,37,031,37031
27,"Cleveland County, North Carolina",20244,37,045,37045
28,"Craven County, North Carolina",22362,37,049,37049
29,"Edgecombe County, North Carolina",30549,37,065,37065
30,"Granville County, North Carolina",17923,37,077,37077
31,"Harnett County, North Carolina",27164,37,085,37085
32,"Hoke County, North Carolina",17740,37,093,37093
33,"Henderson County, North Carolina",3761,37,089,37089
34,"Hyde County, North Carolina",1636,37,095,37095
35,"Iredell County, North Carolina",21229,37,097,37097
36,"Mecklenburg County, North Carolina",330161,37,119,37119
37,"Northampton County, North Carolina",11408,37,131,37131
38,"Pitt County, North Carolina",61671,37,147,37147
39,"Rowan County, North Carolina",22399,37,159,37159
40,"Vance County, North Carolina",22279,37,181,37181
41,"Cherokee County, North Carolina",364,37,039,37039
42,"Currituck County, North Carolina",1473,37,053,37053
43,"Union County, North Carolina",25918,37,179,37179
44,"Wilkes County, North Carolina",2827,37,193,37193
45,"Nash County, North Carolina",36821,37,127,37127
46,"Alexander County, North Carolina",2105,37,003,37003
47,"Dare County, North Carolina",779,37,055,37055
48,"Warren County, North Carolina",10162,37,185,37185
49,"Wilson County, North Carolina",32094,37,195,37195
50,"Gates County, North Carolina",3891,37,073,37073
51,"Graham County, North Carolina",13,37,075,37075
52,"Madison County, North Carolina",363,37,115,37115
53,"Pamlico County, North Carolina",2324,37,137,37137
54,"Polk County, North Carolina",1062,37,149,37149
55,"Randolph County, North Carolina",8953,37,151,37151
56,"Stokes County, North Carolina",1963,37,169,37169
57,"Washington County, North Carolina",5755,37,187,37187
58,"Clay County, North Carolina",226,37,043,37043
59,"Cumberland County, North Carolina",122504,37,051,37051
60,"Guilford County, North Carolina",176785,37,081,37081
61,"Jackson County, North Carolina",986,37,099,37099
62,"Pasquotank County, North Carolina",14418,37,139,37139
63,"Robeson County, North Carolina",32092,37,155,37155
64,"Swain County, North Carolina",60,37,173,37173
65,"Wake County, North Carolina",212597,37,183,37183
66,"Anson County, North Carolina",12333,37,007,37007
67,"McDowell County, North Carolina",1625,37,111,37111
68,"Franklin County, North Carolina",16410,37,069,37069
69,"Jones County, North Carolina",3028,37,103,37103
70,"Macon County, North Carolina",489,37,113,37113
71,"Brunswick County, North Carolina",13096,37,019,37019
72,"Transylvania County, North Carolina",1523,37,175,37175
73,"Beaufort County, North Carolina",12051,37,013,37013
74,"Columbus County, North Carolina",17396,37,047,37047
75,"Lincoln County, North Carolina",4067,37,109,37109
76,"Montgomery County, North Carolina",4922,37,123,37123
77,"Orange County, North Carolina",16557,37,135,37135
78,"Richmond County, North Carolina",14351,37,153,37153
79,"Sampson County, North Carolina",16030,37,163,37163
80,"Surry County, North Carolina",2719,37,171,37171
81,"Avery County, North Carolina",782,37,011,37011
82,"Buncombe County, North Carolina",16095,37,021,37021
83,"Cabarrus County, North Carolina",35634,37,025,37025
84,"Caswell County, North Carolina",7503,37,033,37033
85,"Davie County, North Carolina",2305,37,059,37059
86,"Davidson County, North Carolina",14970,37,057,37057
87,"Duplin County, North Carolina",14450,37,061,37061
88,"Durham County, North Carolina",113511,37,063,37063
89,"Hertford County, North Carolina",14377,37,091,37091
90,"Lee County, North Carolina",11902,37,105,37105
91,"New Hanover County, North Carolina",31440,37,129,37129
92,"Pender County, North Carolina",8788,37,141,37141
93,"Wayne County, North Carolina",37855,37,191,37191
94,"Scotland County, North Carolina",13764,37,165,37165
95,"Watauga County, North Carolina",900,37,189,37189
96,"Halifax County, North Carolina",27353,37,083,37083
97,"Alamance County, North Carolina",30742,37,001,37001
98,"Tyrrell County, North Carolina",1550,37,177,37177
99,"Haywood County, North Carolina",617,37,087,37087
